Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
01-02-2023,17616.30078,17972.19922,17353.40039,17811.59961,512900
02-02-2023,17610.40039,17653.90039,17445.94922,17517.09961,490100
03-02-2023,17854.05078,17870.30078,17584.19922,17721.75,424100
06-02-2023,17764.59961,17823.69922,17698.34961,17818.55078,282500
07-02-2023,17721.5,17811.15039,17652.55078,17790.09961,354400
08-02-2023,17871.69922,17898.69922,17744.15039,17750.30078,291000
09-02-2023,17893.44922,17916.90039,17779.80078,17885.5,260900
10-02-2023,17856.5,17876.94922,17801,17847.55078,232000
13-02-2023,17770.90039,17880.69922,17719.75,17859.09961,231300
14-02-2023,17929.84961,17954.55078,17800.05078,17840.34961,244500
15-02-2023,18015.84961,18034.09961,17853.80078,17896.59961,229300
16-02-2023,18035.84961,18134.75,18000.65039,18094.75,230200
17-02-2023,17944.19922,18034.25,17884.59961,17974.84961,208100
20-02-2023,17844.59961,18004.34961,17818.40039,17965.55078,174600
21-02-2023,17826.69922,17924.90039,17800.30078,17905.80078,198200
22-02-2023,17554.30078,17772.5,17529.44922,17755.34961,204000
23-02-2023,17511.25,17620.05078,17455.40039,17574.65039,240800
24-02-2023,17465.80078,17599.75,17421.80078,17591.34961,209400
27-02-2023,17392.69922,17451.59961,17299,17428.59961,246400
28-02-2023,17303.94922,17440.44922,17255.19922,17383.25,420900
01-03-2023,17450.90039,17467.75,17345.25,17360.09961,272900
02-03-2023,17321.90039,17445.80078,17306,17421.5,310700
03-03-2023,17594.34961,17644.75,17427.69922,17451.25,356200
06-03-2023,17711.44922,17799.94922,17671.94922,17680.34961,362800
08-03-2023,17754.40039,17766.5,17602.25,17665.75,267000
09-03-2023,17589.59961,17772.34961,17573.59961,17772.05078,262400
10-03-2023,17412.90039,17451.5,17324.34961,17443.80078,235900
13-03-2023,17154.30078,17529.90039,17113.44922,17421.90039,254900
14-03-2023,17043.30078,17224.65039,16987.09961,17160.55078,290600
15-03-2023,16972.15039,17211.34961,16938.90039,17166.44922,248200
